ID,BookName,Publisher,Author,Price
205,Kabuk - Kristal 1. Cilt,Kafe Kültür Yayıncılık,İlker Selman,"35,00"
206,Demir Yürek,Yabancı Yayınları,Ashley Poston,"100,75"
207,Daha Geride Kalanlar,Ayrıntı Yayınları,Terry Bisson,"38,50"
208,Sarsıntı,Dorlion Yayınevi,A. Şerbakov,"37,20"
209,Takımadadaki Yamyamlık,Dorlion Yayınevi,A. Kazantsev,"37,20"
210,Çöpçü Gezegenler,Dorlion Yayınevi,A. Şalimov,"30,00"
211,Sanal Kent,Eksik Parça Yayınları,Seran Demiral,"62,30"
212,Krizalitler,Delidolu,John Wyndham,"66,75"
213,Disk Dünya 30: Küçük Özgür Adamlar,Delidolu,Terry Pratchett,"74,25"
214,Yarım Kalan Roman - Sherlock Holmes,Venedik Yayınları,Sir Arthur Conan Doyle,"18,00"
215,Bereketli Evrenler Üzerinde,Tunç Yayıncılık,Tanseli Polikar,"42,00"
216,Kayıp Yıldızlar Atlası 2 - Griffonatarasların Yükselişi,Cinius Yayınları,Mahir Sular,"159,25"
217,Yeni Ütopya,Cinius Yayınları,Fatih Söyleyici,"107,25"
218,Merza - Kader Doğuyor,40 Kitap,Sevdagül Demirci,"40,20"
219,Yapay Zeka Robotu Demir Pençe Suziko 3,Genç Damla Yayınevi,Sara Gürbüz Özeren,"55,25"
220,Renata,Cadı Yayınları,Cansu Ceyhan,"85,00"
221,Özerkin Hisarı,İthaki Yayınları,Gene Wolfe,"96,85"
222,Bütün İyiler Öldü,İthaki Yayınları,Meryem Gültabak,"65,00"
223,Kara Bulut,İthaki Yayınları,Fred Hoyle,"82,55"
224,Star Maker,Cem Yayınevi,Olaf Stapledon,"57,62"
225,Ana Şifre,Martı Yayınları,Carole Stivers,"75,00"
226,Beyaz Işık,Pan Yayıncılık,Rudy Rucker,"35,00"
227,Geleceği Geçmişle Kurgulamak,Palet Yayınları,Ülfet Dağ,"67,00"
